NCM,Excecao,Descricao,Aliquota
84.01,,"Reatores nucleares; elementos combustíveis (cartuchos) não irradiados, para reatores nucleares; máquinas e aparelhos para a separação de isótopos.",
8401.10.00,,- Reatores nucleares ,0
8401.20.00,,"- Máquinas e aparelhos para a separação de isótopos, e suas partes ",0
8401.30.00,,- Elementos combustíveis (cartuchos) não irradiados ,0
8401.40.00,,- Partes de reatores nucleares ,0
84.02,,"Caldeiras de vapor (geradores de vapor), excluindo as caldeiras para aquecimento central concebidas para produção de água quente e vapor de baixa pressão; caldeiras denominadas ""de água superaquecida"".",
8402.1,,- Caldeiras de vapor:,
8402.11.00,,-- Caldeiras aquatubulares com produção de vapor superior a 45 t por hora ,0
8402.12.00,,-- Caldeiras aquatubulares com produção de vapor não superior a 45 t por hora ,0
8402.19.00,,"-- Outras caldeiras para produção de vapor, incluindo as caldeiras mistas ",0
8402.20.00,,"- Caldeiras denominadas ""de água superaquecida"" ",0
8402.90.00,,- Partes ,0
84.03,,"Caldeiras para aquecimento central, exceto as da posição 84.02.",
8403.1,,- Caldeiras,
8403.10.10,,Com capacidade inferior ou igual a 200.000 kcal/hora ,0
8403.10.90,,Outras ,0
8403.90.00,,- Partes ,"3,25"
84.04,,"Aparelhos auxiliares para caldeiras das posições 84.02 ou 84.03 (por exemplo, economizadores, superaquecedores, aparelhos de limpeza de tubos ou de recuperação de gás); condensadores para máquinas a vapor.",
8404.1,,- Aparelhos auxiliares para caldeiras das posições 84.02 ou 84.03,
8404.10.10,,Da posição 84.02 ,0
8404.10.20,,Da posição 84.03 ,0
8404.20.00,,- Condensadores para máquinas a vapor ,0
,,,
8404.9,,- Partes,
8404.90.10,,De aparelhos auxiliares para caldeiras da posição 84.02 ,"3,25"
8404.90.90,,Outras ,"3,25"
84.05,,"Geradores de gás de ar (gás pobre) ou de gás de água, mesmo com depuradores; geradores de acetileno e geradores semelhantes de gás, operados a água, mesmo com depuradores.",
8405.10.00,,"- Geradores de gás de ar (gás pobre) ou de gás de água, mesmo com depuradores; geradores de acetileno e geradores semelhantes de gás, operados a água, mesmo com depuradores ",0
8405.90.00,,- Partes ,"3,25"
84.06,,Turbinas a vapor.,
8406.10.00,,- Turbinas para propulsão de embarcações ,"3,25"
8406.8,,- Outras turbinas:,
8406.81.00,,-- De potência superior a 40 MW ,0
8406.82.00,,-- De potência não superior a 40 MW ,0
8406.9,,- Partes,
8406.90.1,,Rotores,
8406.90.11,,"De turbinas a reação, de múltiplos estágios ","3,25"
8406.90.19,,Outras ,"3,25"
8406.90.2,,Palhetas,
8406.90.21,,Fixas (de estator) ,"3,25"
8406.90.29,,Outras ,"3,25"
8406.90.90,,Outras ,0
84.07,,"Motores de pistão, alternativo ou rotativo, de ignição por centelha (faísca) (motores de explosão).",
8407.10.00,,- Motores para aviação ,"3,25"
8407.2,,- Motores para propulsão de embarcações:,
8407.21,,-- Do tipo fora de borda,
8407.21.10,,Monocilíndricos ,"3,25"
8407.21.90,,Outros ,5
8407.29,,-- Outros,
8407.29.10,,Monocilíndricos ,"3,25"
8407.29.90,,Outros ,"3,25"
8407.3,,- Motores de pistão alternativo do tipo utilizado para propulsão de veículos do Capítulo 87:,
8407.31,,-- De cilindrada não superior a 50 cm3,
8407.31.10,,Monocilíndricos ,"3,25"
8407.31.90,,Outros ,"3,25"
8407.32.00,,"-- De cilindrada superior a 50 cm3, mas não superior a 250 cm3 ","3,25"
8407.33,,"-- De cilindrada superior a 250 cm3, mas não superior a 1.000 cm3",
8407.33.10,,Monocilíndricos ,"3,25"
8407.33.90,,Outros ,"3,25"
8407.34,,-- De cilindrada superior a 1.000 cm3,
8407.34.10,,Monocilíndricos ,"3,25"
8407.34.90,,Outros ,"3,25"
8407.90.00,,- Outros motores ,0
84.08,,"Motores de pistão, de ignição por compressão (motores diesel ou semidiesel).",
8408.1,,- Motores para propulsão de embarcações,
8408.10.10,,Do tipo fora de borda ,"3,25"
8408.10.90,,Outros ,"3,25"
8408.2,,- Motores do tipo utilizado para propulsão de veículos do Capítulo 87,
8408.20.10,,De cilindrada inferior ou igual a 1.500 cm3 ,"3,25"
8408.20.20,,"De cilindrada superior a 1.500 cm3, mas não superior a 2.500 cm3 ","3,25"
8408.20.20,01,"De ônibus ou caminhões, de potência igual ou superior a 125 HP","2,6"
8408.20.20,02,"De tratores agrícolas, com até 2.600 rpm em potência máxima","2,6"
8408.20.30,,"De cilindrada superior a 2.500 cm3, mas não superior a 3.500 cm3 ","3,25"
8408.20.30,01,"De ônibus ou caminhões, de potência igual ou superior a 125 HP","2,6"
8408.20.30,02,"De tratores agrícolas, com até 2.600 rpm em potência máxima","2,6"
8408.20.90,,Outros ,"3,25"
8408.20.90,01,"De ônibus ou caminhões, de potência igual ou superior a 125 HP","2,6"
8408.20.90,02,"De tratores agrícolas, com até 2.600 rpm em potência máxima","2,6"
8408.9,,- Outros motores,
8408.90.10,,"Estacionários, de potência normal ISO superior a 497,5 kW (663 HP), segundo Norma ISO 3046/1 ",0
8408.90.90,,Outros ,0
84.09,,Partes reconhecíveis como exclusiva ou principalmente destinadas aos motores das posições 84.07 ou 84.08.,
8409.10.00,,- De motores para aviação ,"3,25"
8409.9,,- Outras:,
8409.91,,"-- Reconhecíveis como exclusiva ou principalmente destinadas aos motores de pistão, de ignição por centelha (faísca)",
